ID_KA;ID_KU;Knowledge_Unit;Definition_KU;
108;1049;Artificial Intelligence;It is defined as the power of the intellectual human mind that designs an intelligent work system that is demonstrated in terms of computational power designed by human intelligence. It is designed in such a way that it begins to simulate brain thinking, its thinking pattern, the analysis approach and how to calculate the problem.;
108;1050;Blockchain;"It refers to a technology that is based on a series of distributed records
by means of blockchain. In addition, this potential technology can disruption in multiple industries.";
108;1051;Machine learning;It refers to an algorithm method that automatically analyzes and obtains laws from data in order to predict the unknown. It is also used to identify relationships between dependent and independent variables, which is particularly close to inferential statistics.;
108;1052;Cloud computing;;
108;1053;Smart-grid;"They are made up of the use of sensors, communication systems
and the ability to compute and control data in order to take
more timely decisions at all times and thus get a supply
more efficient, economical and reliable. It refers intelligently when faced with
fluctuations that may occur, the most important decisions are made
efficient in real time.";
108;1054;Data science;It is the study of the generalizable extraction of knowledge from data through the combined use of automatic learning techniques, articial intelligence, mathematics, database and optimization, along with a deep understanding of the business context.;
108;1055;Data mining;It refers to the process of analyzing data from different perspectives in order to summarize it into useful information segments. It also allows users to analyze data from different dimensions or angles, categorizing it and summarizing the identified relationships.;
108;1056;Big data;Big Data refers to a high volume, speed and/or variety of information assets that require new and innovative forms of processing in order to improve decision-making, business perception or process optimization.;
108;1057;Convergence of IT and OT security;"Integration of information technology (IT) systems with operational technology (OT) systems. IT systems are used for data-centric computing; OT systems monitor events, processes and devices, and make adjustments to business and industrial operations.";
108;1058;5g Cybersecurity;The 5G network is software-centric and creates a distributed approach to digital routing. This distributed set of digital routers spreads the cybersecurity task to more nodes. In doing so, it loses the benefits of controlling and inspecting endpoints in the application of security protocols.;
108;1059;Cyber-Biosecurity;It has the function of understanding the new risks that arise on the border between cyberspace and biology in order to develop policies to manage them.;
108;1060;Security/Cybersecurity in ubiquitous systems;"Ubiquitous systems can refer to any ubiquitous system such as: IoT, cyber physical systems,
world-class computing, mobile computing, cloud computing, etc. Cybersecurity solutions for these systems require compliance with key limitations such as scalability, maintainability, and performance.";
108;1061;Intrusion detection and resiliency in ubiquitous systems;Process to identify abnormal behavior or pattern.;
108;1062;Data privacy in ubiquitous systems;Digitizing our lives to allow computer systems to process them automatically.;
108;1063;Secure data analytics for ubiquitous systems;;
108;1064;Adaptive intelligence in security measures for ubiquitous systems;;
108;1065;Trust computing for ubiquitous systems;;
108;1066;Hardware trusted platforms, secure elements, trusted execution environment for ubiquitous systems;;
108;1067;Reputation-based recommendation systems for ubiquitous systems;;
108;1068;Smart City Security;;
108;1069;Smart Grid security;;
108;1070; Security in Fog/edge Computing;;
108;1071;Data Center Network Control, Security and Optimization;;
108;1072;Virtual firewalls;;
108;1073;Enterprise Wireless Security;;
108;1074;Host Network Intrusion Prevention Systems;;
108;1075;Cognitive Security;;
108;1076;Machine learning and cybersecurity;;
108;1077;Security Analytics;;
108;1078;Cyber Physical System (CPS) security;;
