ID_KA;ID_KU;ACRONYM;NAME;DATE;LOCATION;DEADLINE (unused);;CONGRESS_ID;DEADLINE
100;1001;DSD 2021;Euromicro Conference on Digital System Design (DSD) 2021;Sep 6, 2021 - Sep 8, 2021;Palermo, Sicily, Italy;Apr 1, 2021;1/04/2021;31;2021-04-01
100;1001;TPDL 2021;25th International Conference on Theory and Practice of Digital Libraries;Sep 13, 2021 - Sep 17, 2021;Online;Apr 14, 2021;14/04/2021;32;2021-04-14
100;1001;IWBF 2021;9th IEEE International Workshop on Biometrics and Forensics (IWBF) 2021;May 6, 2021 - May 7, 2021;Rome, Italy;Feb 28, 2021;28/02/2021;33;2021-02-28
100;1001;JoWUA SI 2021;JoWUA Special Issue on Multidisciplinary Solutions to Modern Cybersecurity Challenges;Apr 15, 2020 - Feb 3, 2022;online;Apr 15, 2021;15/04/2021;34;2021-04-15
100;1001;ICCSE 2021;The 16th International Conference on Computer Science and Education;Aug 17, 2021 - Aug 21, 2021;Lancaster;Apr 15, 2021;15/04/2021;35;2021-04-15
100;1001;CYBER 2021;The Sixth International Conference on Cyber-Technologies and Cyber-Systems;Oct 3, 2021 - Oct 7, 2021;Barcelona, Spain;Jul 5, 2021;5/07/2021;36;2021-07-05
100;1001;ICDS 2021;The Fifteenth International Conference on Digital Society;Jul 18, 2021 - Jul 22, 2021;Nice, France;Apr 19, 2021;19/04/2021;37;2021-04-19
100;1001;ADIP--EI Compendex, Scopus 2021;2021 3rd Asia Digital Image Processing Conference (ADIP 2021)--EI Compendex, Scopus;Dec 17, 2021 - Dec 19, 2021;Kyoto, Japan;Aug 5, 2021;5/08/2021;38;2021-08-05
100;1001;ADIP--EI, Scopus 2021;2021 3rd Asia Digital Image Processing Conference (ADIP 2021)--EI Compendex, Scopus;Dec 17, 2021 - Dec 19, 2021;Kyoto, Japan;Aug 5, 2021;5/08/2021;39;2021-08-05
100;1001;MEDES 2021;The 13th International ACM Conference on Management of Digital EcoSystems;Nov 1, 2021 - Nov 3, 2021;Hammamet - Tunisia;May 24, 2021;24/05/2021;40;2021-05-24
100;1001;AI4DE 2021;Trustworthy AI for Digital Engineering Transformation - Special Issue of JIDPS - Trans. SDPS;N/A;N/A;Mar 31, 2021;31/03/2021;41;2021-03-31
100;1001;IADSDTP 2021;Interdisciplinary Approaches in Data Science and Digital Transformation Practice / in the scope of KES 2021;Sep 8, 2021 - Sep 10, 2021;Szczecin, Poland;Apr 2, 2021;2/04/2021;42;2021-04-02
100;1001;ICDIP--SPIE, Ei, Scopus 2021;SPIE--2021 The 13th International Conference on Digital Image Processing (ICDIP 2021)--Ei compendex, Scopus;May 20, 2021 - May 23, 2021;Singapore;Mar 15, 2021;15/03/2021;43;2021-03-15
100;1001;SDLDIP 2021;Special Issue on Sensors and Deep Learning for Digital Image Processing;N/A;N/A;Mar 31, 2021;31/03/2021;44;2021-03-31
100;1001;MEDES 2021;The 13th International Conference on Management of Digital EcoSystems;Nov 1, 2021 - Nov 3, 2021;Hammamet - Tunisia;May 24, 2021;24/05/2021;45;2021-05-24
100;1001;Frontiers VR 2021;Frontiers in Virtual Reality : Creating Lifelike Digital Humans;N/A;N/A;Mar 15, 2021;15/03/2021;46;2021-03-15
100;1001;ICDTE--EI and Scopus 2021;2021 5th International Conference on Digital Technology in Education (ICDTE 2021)--Ei Compendex, Scopus;Sep 15, 2021 - Sep 17, 2021;Busan, South Korea;Apr 5, 2021;5/04/2021;47;2021-04-05
100;1001;EAI CyDiP (virtual) 2021;EAI International Conference on Emerging Technologies of Cybersecurity and Digital Privacy (online conference);Oct 18, 2021 - Oct 19, 2021;Cyberspace;Apr 19, 2021;19/04/2021;48;2021-04-19
100;1001;DigEx 2021;3rd International Workshop on Transforming the Digital Customer Experience;Jun 15, 2021 - Jun 17, 2021;Hannover, Germany;Apr 20, 2021;20/04/2021;49;2021-04-20
100;1001;SPIE--ICDIP--Ei Compendex, Scopus 2021;SPIE--2021 The 13th International Conference on Digital Image Processing (ICDIP 2021)--Ei compendex, Scopus;May 20, 2021 - May 23, 2021;Singapore;Mar 15, 2021;15/03/2021;50;2021-03-15
100;1001;MoTra 2021;MoTra21: Workshop on Modelling Translation: Translatology in the Digital Age;May 31, 2021 - Jun 2, 2021;Online;Mar 22, 2021;22/03/2021;51;2021-03-22
100;1001;SCOPUS/CPCI-CGDIP 2021;5th International Conference on Computer Graphics and Digital Image Processing (CGDIP 2021);Jul 8, 2021 - Jul 10, 2021;Athens, Greece;Mar 10, 2021;10/03/2021;52;2021-03-10
100;1001;ICDTE--EI Compendex and Scopus 2021;2021 5th International Conference on Digital Technology in Education (ICDTE 2021)--Ei Compendex, Scopus;Sep 15, 2021 - Sep 17, 2021;Busan, South Korea;Apr 5, 2021;5/04/2021;53;2021-04-05
100;1001;ACM--DMIP--EI Compendex, Scopus 2021;ACM--2021 the 3rd International Conference on Digital Media and Information Processing (DMIP 2021)--EI Compendex, Scopus;Sep 24, 2021 - Sep 26, 2021;Xiamen, China;Apr 10, 2021;10/04/2021;54;2021-04-10
100;1001;DMIP--ACM, Ei and Scopus 2021;ACM--2021 the 3rd International Conference on Digital Media and Information Processing (DMIP 2021)--EI Compendex, Scopus;Sep 24, 2021 - Sep 26, 2021;Xiamen, China;Apr 10, 2021;10/04/2021;55;2021-04-10
100;1001;NIDS 2021;NOVELTIES IN INTELLIGENT DIGITAL SYSTEMS 2021;Sep 30, 2021 - Oct 1, 2021;ATHENS, GREECE;Apr 11, 2021;11/04/2021;56;2021-04-11
100;1001;Ecofeminism and Literature 2021;Routledge Handbook of Ecofeminism and Literature;Mar 25, 2021 - Mar 25, 2021;N/A;Mar 25, 2021;25/03/2021;57;2021-03-25
100;1001;Binary Modernisms 2021;Binary Modernisms: Re/Appropriations of Modernist Art in the Digital Age;N/A;N/A;Mar 14, 2021;14/03/2021;58;2021-03-14
100;1001;CGDIP-SCOPUS 2021;5th International Conference on Computer Graphics and Digital Image Processing (CGDIP 2021);Jul 8, 2021 - Jul 10, 2021;Athens, Greece;Mar 10, 2021;10/03/2021;59;2021-03-10
100;1001;SADFE 2021;Systematic Approaches to Digital Forensic Engineering (SADFE) at 2021 IEEE S&P;May 27, 2021 - May 27, 2021;Viirtual - co-hosted at IEEE 2021 S&P;Feb 5, 2021;5/02/2021;60;2021-02-05
100;1001;Polizeiinformatik 2021;The sixth conference for lecturers and researchers in computer science and information technology in law enforcement;Apr 20, 2021 - Apr 20, 2021;Virtual;Dec 13, 2020;13/12/2020;61;2020-12-13
100;1001;DFRWS EU 2021;Digital Forensics Research Workshop EU 2021 - EXTENDED DEADLINE;Mar 29, 2021 - Apr 1, 2021;Cyberspace;Oct 14, 2020;14/10/2020;62;2020-10-14
100;1002;ICDM 2021;21st IEEE International Conference on Data Mining;Dec 7, 2021 - Dec 10, 2021;Auckland, New Zealand;Jun 11, 2021;11/06/2021;63;2021-06-11
100;1002;MDPI-SI-BDHA 2021;Call for Papers: Special Issue “Big Data for eHealth Applications” (MDPI Applied Sciences, IF 2.474 – Indexed on Scopus, Web of Science);N/A;N/A;Sep 15, 2021;15/09/2021;64;2021-09-15
100;1002;DATA ANALYTICS 2021;The Tenth International Conference on Data Analytics;Oct 3, 2021 - Oct 7, 2021;Barcelona, Spain;Jul 5, 2021;5/07/2021;65;2021-07-05
100;1002;ML_BDA 2021;Special Issue on Machine Learning Technologies for Big Data Analytics;N/A;N/A;Aug 15, 2021;15/08/2021;66;2021-08-15
100;1002;IEEE DSAA 2021;8th IEEE International Conference on Data Science and Advanced Analytics;Oct 6, 2021 - Oct 9, 2021;Porto, Portugal;May 23, 2021;23/05/2021;67;2021-05-23
100;1002;BDIoT 2021;5th International Conference on Big Data and Internet of Things - BDIoT’21;Mar 17, 2021 - Mar 18, 2021;Rabat - Morocco;Dec 1, 2021;1/12/2021;68;2021-12-01
100;1002;iDSC 2021;4th International Data Science Conference;Oct 20, 2021 - Oct 22, 2021;Vienna;Jun 20, 2021;20/06/2021;69;2021-06-20
100;1002;ISC HPC 2021;ISC HIGH PERFORMANCE 2021 DIGITAL;Jun 24, 2021 - Jul 2, 2021;Digital;Dec 21, 2021 (Dec 14, 2020);21/12/2021;70;2021-12-21
100;1002;IEEE SSCI 2021;2021 IEEE Symposium Series on Computational Intelligence;Dec 5, 2021 - Dec 8, 2021;Orlando, Florida, USA;Aug 6, 2021;6/08/2021;71;2021-08-06
100;1002;ICSRS--Scopus & EI Compendex 2021;2021 5th International Conference on System Reliability and Safety (ICSRS 2021)--Scopus & EI Compendex;Nov 24, 2021 - Nov 26, 2021;Palermo, Italy;Jul 5, 2021;5/07/2021;72;2021-07-05
100;1002;ai4i 2021;Artificial Intelligence for Industries (ai4i 2021);Sep 20, 2021 - Sep 22, 2021;Laguna Hills, California, USA;Jul 1, 2021;1/07/2021;73;2021-07-01
100;1002;SOFSEM 2021;47th International Conference on Current Trends in Theory and Practice of Computer Science;Jan 25, 2021 - Jan 28, 2021;Bozen-Bolzano, Italy;Aug 3, 2021 (Jul 27, 2021);3/08/2021;74;2021-08-03
100;1002;Scopus-ICDPR 2022;The 6th International Conference on Data Processing and Robotics (ICDPR 2022);Jan 6, 2022 - Jan 8, 2022;Hokkaido, Japan;Jul 5, 2021;5/07/2021;75;2021-07-05
100;1002;Mapping_Monitoring_Wetlands 2021;[Water] (IF: 2.544, ISSN 2073-4441) Special Issue: Mapping and Monitoring of Wetlands;N/A;N/A;Nov 30, 2021;30/11/2021;76;2021-11-30
100;1002;ICBDB 2021;2021 3rd International Conference on Big Data and Blockchain(ICBDB 2021);Dec 3, 2021 - Dec 5, 2021;Beijing, China;Oct 30, 2021;30/10/2021;77;2021-10-30
100;1002;EI-WBDC 2021;2021 3rd International Workshop on Big Data and Computing(WBDC 2021);Dec 3, 2021 - Dec 5, 2021;Beijing, China;Oct 31, 2021;31/10/2021;78;2021-10-31
100;1002;AICCC--EI, Scopus 2021;2021 4th Artificial Intelligence and Cloud Computing Conference (AICCC 2021)--EI Compendex, Scopus;Dec 17, 2021 - Dec 19, 2021;Kyoto, Japan;Aug 5, 2021;5/08/2021;79;2021-08-05
100;1002;BigMM 2021;IEEE International Conference on Multimedia Big Data 2021;Nov 15, 2021 - Nov 17, 2021;Taichung, Taiwan;Aug 9, 2021;9/08/2021;80;2021-08-09
100;1002;ICBICC 2021;2021 3rd International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2021);Nov 12, 2021 - Nov 14, 2021;Rome, Italy;Sep 30, 2021;30/09/2021;81;2021-09-30
100;1002;ICPM 2021;3rd International Conference on Process Mining;Oct 31, 2021 - Nov 4, 2021;Eindhoven;Jul 1, 2021 (Jun 15, 2021);1/07/2021;82;2021-07-01
100;1002;BDSIC--EI Compendex, Scopus 2021;2021 3rd International Conference on Big-data Service and Intelligent Computation (BDSIC 2021)--Ei Compendex, Scopus;Nov 19, 2021 - Nov 21, 2021;HuaQiao University, Xiamen?China;Jul 5, 2021;5/07/2021;83;2021-07-05
100;1002;BDSIC--EI, Scopus 2021;2021 3rd International Conference on Big-data Service and Intelligent Computation (BDSIC 2021)--Ei Compendex, Scopus;Nov 19, 2021 - Nov 21, 2021;HuaQiao University, Xiamen?China;Jul 5, 2021;5/07/2021;84;2021-07-05
100;1002;CCEAI-Scopus 2022;The 6th International Conference on Control Engineering and Artificial Intelligence (CCEAI 2022);Jan 6, 2022 - Jan 8, 2022;Hokkaido, Japan;Jul 5, 2021;5/07/2021;85;2021-07-05
100;1002;NCAA 2022;Topical Collection on Deep Learning for Time Series Data for Neural Computing and Applications;N/A;N/A;Jun 30, 2021;30/06/2021;86;2021-06-30
100;1002;ICAA 2021;2021 International Conference on Intelligent Computing, Automation and Applications;Jun 25, 2021 - Jun 27, 2021;Nanjing;Jun 21, 2021;21/06/2021;87;2021-06-21
100;1002;ICT-DM 2021;The 7th International Conference on Information and Communication Technologies for Disaster Management;Dec 3, 2021 - Dec 5, 2021;Hangzhou, China;Jun 20, 2021 (Jun 15, 2021);20/06/2021;88;2021-06-20
100;1002;Call for Book Chapter 2021;Blockchain and Deep Learning - Future Trends and Enabling Technologies;Feb 1, 2021 - Apr 30, 2022;Book Chapter;Jun 4, 2021 (Mar 15, 2021);4/06/2021;89;2021-06-04
100;1002;ICoIV 2021 - Ei Compendex & Scopus 2021;2021 International Conference on Intelligent Vehicles (ICoIV 2021);Jun 21, 2021 - Jun 23, 2021;Chengdu, China;May 20, 2021;20/05/2021;90;2021-05-20
100;1002;MEDES 2021;The 13th International ACM Conference on Management of Digital EcoSystems;Nov 1, 2021 - Nov 3, 2021;Hammamet - Tunisia;May 24, 2021;24/05/2021;91;2021-05-24
100;1002;MEDES 2021;The 13th International Conference on Management of Digital EcoSystems;Nov 1, 2021 - Nov 3, 2021;Hammamet - Tunisia;May 24, 2021;24/05/2021;92;2021-05-24
100;1003;ICBDB 2021;2021 3rd International Conference on Big Data and Blockchain(ICBDB 2021);Dec 3, 2021 - Dec 5, 2021;Beijing, China;Oct 30, 2021;30/10/2021;93;2021-10-30
100;1003;IARCE 2021;2021 5th International Conference on Industrial Automation, Robotics and Control Engineering (IARCE 2021);Jun 18, 2021 - Jun 20, 2021;Chengdu, China;May 20, 2021;20/05/2021;94;2021-05-20
100;1003;EI-CFAIS 2021;2021 International Conference on Frontiers of Artificial Intelligence and Statistics (CFAIS 2021);Dec 1, 2021 - Dec 3, 2021;Beijing, China;Oct 30, 2021;30/10/2021;95;2021-10-30
100;1003;SECCE 2021;2021 International Symposium on Electronics, Communications and Control Engineering (SECCE 2021);May 14, 2021 - May 16, 2021;Prague, Czech Republic;Apr 15, 2021;15/04/2021;96;2021-04-15
100;1003;SACMAT 2021;1st CfP -- ACM Symposium on Access Control Models and Technologies -- SACMAT 2021;Jun 16, 2021 - Jun 18, 2021;Barcelona, Spain;Feb 15, 2021;15/02/2021;97;2021-02-15
100;1003;SI Electronics - EV Grids 2021;Special Issue - Electric Vehicles Integration and Control in Smart Grids;N/A;N/A;Nov 30, 2021;30/11/2021;98;2021-11-30
100;1003;ISCSIC 2021;2021 5th International Symposium on Computer Science and Intelligent Control;Nov 12, 2021 - Nov 14, 2021;Rome, Italy;Oct 15, 2021;15/10/2021;99;2021-10-15
100;1003;UVS-Oman 2022;The 2nd International Conference on Unmanned Vehicle Systems (UVS-Oman 2022) - IEEE;Feb 7, 2022 - Feb 9, 2022;Muscat, Oman;Oct 15, 2021;15/10/2021;100;2021-10-15
100;1003;IARCE 2021-Ei Compendex & Scopus 2021;2021 5th International Conference on Industrial Automation, Robotics and Control Engineering (IARCE 2021);Jun 18, 2021 - Jun 20, 2021;Chengdu, China;May 20, 2021;20/05/2021;101;2021-05-20
100;1003;Scopus-CCEAI 2022;The 6th International Conference on Control Engineering and Artificial Intelligence (CCEAI 2022);Jan 6, 2022 - Jan 8, 2022;Hokkaido, Japan;Jul 5, 2021;5/07/2021;102;2021-07-05
100;1003;ICoCTA 2021;2021 2nd International Conference on Control Theory and Applications (ICoCTA 2021);Jun 18, 2021 - Jun 20, 2021;Chengdu, China;May 20, 2021;20/05/2021;103;2021-05-20
100;1003;ACM--ICSCC--EI Compendex and Scopus 2021;ACM--2021 6th International Conference on Systems, Control and Communications (ICSCC 2021)--Ei Compendex, Scopus;Oct 15, 2021 - Oct 17, 2021;Chongqing, China;May 10, 2021;10/05/2021;104;2021-05-10
100;1003;IWoSR 2021;2021 International Workshop on Service Robotics (IWoSR 2021);Jun 21, 2021 - Jun 23, 2021;Chengdu, China;May 20, 2021;20/05/2021;105;2021-05-20
100;1003;EAI FABULOUS 2021;5th EAI International Conference on Future Access Enablers of Ubiquitous and Intelligent Infrastructures;May 6, 2021 - May 7, 2021;Zagreb, Croatia;Dec 15, 2020;15/12/2020;106;2020-12-15
100;1003;ACCESS 2021;2nd International Conference on ADVANCES IN COMPUTING, COMMUNICATION, EMBEDDED AND SECURE SYSTEMS;May 26, 2021 - May 28, 2021;Kalady, Ernakulam, INDIA;Mar 5, 2021;5/03/2021;107;2021-03-05
100;1003;CCEAI-Scopus 2022;The 6th International Conference on Control Engineering and Artificial Intelligence (CCEAI 2022);Jan 6, 2022 - Jan 8, 2022;Hokkaido, Japan;Jul 5, 2021;5/07/2021;108;2021-07-05
100;1003;Scopus-CEECT 2021;The 3rd International Conference on Electrical Engineering and Control Technologies (CEECT 2021);Dec 16, 2021 - Dec 18, 2021;Macau SAR, China;Jun 15, 2021;15/06/2021;109;2021-06-15
100;1003;IEEE ICITE--EI Compendex, Scopus 2021;2021 IEEE 6th International Conference on Intelligent Transportation Engineering (IEEE ICITE 2021)--Ei Compendex, Scopus;Sep 17, 2021 - Sep 19, 2021;Beijing, China;Apr 20, 2021;20/04/2021;110;2021-04-20
100;1003;ICSCC--ACM, EI and Scopus 2021;ACM--2021 6th International Conference on Systems, Control and Communications (ICSCC 2021)--Ei Compendex, Scopus;Oct 15, 2021 - Oct 17, 2021;Chongqing, China;May 10, 2021;10/05/2021;111;2021-05-10
100;1003;SCI/EI Journal--Water Supply 2021;Water Supply Special Issue on Water Quality Control;Jul 30, 2021 - Jan 30, 2022;N/A;Jul 30, 2021;30/07/2021;112;2021-07-30
100;1003;ICAA 2021;2021 International Conference on Intelligent Computing, Automation and Applications;Jun 25, 2021 - Jun 27, 2021;Nanjing;Jun 21, 2021;21/06/2021;113;2021-06-21
100;1003;Scopus-WADCE 2021;7th International Workshop on Aircraft Design and Control Engineering (WADCE 2021);Dec 9, 2021 - Dec 12, 2021;Melbourne, Australia;Jun 10, 2021;10/06/2021;114;2021-06-10
100;1003;IEEE--IRCE--EI Compendex, Scopus 2021;IEEE--2021 4th International Conference on Intelligent Robotics and Control Engineering (IRCE 2021)--Ei Compendex, SCOPUS;Sep 18, 2021 - Sep 20, 2021;Lanzhou, China;May 5, 2021;5/05/2021;115;2021-05-05
100;1003;CEECT-Scopus 2021;The 3rd International Conference on Electrical Engineering and Control Technologies (CEECT 2021);Dec 16, 2021 - Dec 18, 2021;Macau SAR, China;Jun 15, 2021;15/06/2021;116;2021-06-15
100;1003;Scopus-WAT 2021;The 3rd International Workshop on Automation Technologies (WAT 2021);Dec 16, 2021 - Dec 18, 2021;Macau SAR, China;Jun 15, 2021;15/06/2021;117;2021-06-15
100;1003;Scopus-WPCE 2021;6th International Conference on Water Pollution Control Engineering (WPCE 2021);Dec 2, 2021 - Dec 5, 2021;Singapore;Jun 1, 2021;1/06/2021;118;2021-06-01
100;1003;CEESD-Scopus 2021;6th International Conference on Environmental Engineering and Sustainable Development (CEESD 2021);Dec 2, 2021 - Dec 5, 2021;Singapore;Jun 1, 2021;1/06/2021;119;2021-06-01
100;1003;ICACR--Ei Compendex and Scopus 2021;2021 5th International Conference on Automation, Control and Robots (ICACR 2021)--EI Compendex, Scopus;Sep 25, 2021 - Sep 27, 2021;Nanning, China;May 10, 2021;10/05/2021;120;2021-05-10
100;1003;IRCE--IEEE, EI, Scopus 2021;IEEE--2021 4th International Conference on Intelligent Robotics and Control Engineering (IRCE 2021)--Ei Compendex, SCOPUS;Sep 18, 2021 - Sep 20, 2021;Lanzhou, China;May 5, 2021;5/05/2021;121;2021-05-05
100;1003;ICACR--Ei and Scopus 2021;2021 5th International Conference on Automation, Control and Robots (ICACR 2021)--EI Compendex, Scopus;Sep 25, 2021 - Sep 27, 2021;Nanning, China;May 10, 2021;10/05/2021;122;2021-05-10
100;1003;MLMI--Ei, Scopus 2021;2021 The 4th International Conference on Machine Learning and Machine Intelligence (MLMI 2021)--Ei Compendex, Scopus;Sep 17, 2021 - Sep 19, 2021;Hangzhou Dianzi University, China;Apr 30, 2021;30/04/2021;123;2021-04-30
100;1003;ICSTCC 2021;25th International Conference on System Theory, Control and Computing;Oct 20, 2021 - Oct 23, 2021;Iasi, Romania;Apr 30, 2021;30/04/2021;124;2021-04-30
100;1003;SCI/EI Journal--AIEDAM 2021;Thematic Collection on Industrial intelligent technologies for human-robot interaction and collaboration;Mar 30, 2021 - Mar 30, 2022;N/A;Apr 30, 2021;30/04/2021;125;2021-04-30
100;1003;OPDEM 2021;Contribute a chapter to the Open Access book Demographic Analysis - Selected Concepts, Tools, and Applications;N/A;N/A;Jan 31, 2021;31/01/2021;126;2021-01-31
100;1003;IEEE OJ-CS Special Section 2021;Open Access Journal: Special Section on Resource Management in UAV-Assisted Systems;N/A;N/A;Oct 15, 2020;15/10/2020;127;2020-10-15
100;1004;EAI SecureComm 2021;17th EAI International Conference on Security and Privacy in Communication Networks (Springer, Scopus, ISI, Ei, more);Sep 6, 2021 - Sep 9, 2021;Canterbury, Great Britain;Mar 15, 2021;15/03/2021;128;2021-03-15
100;1004;VEHICULAR 2021;The Tenth International Conference on Advances in Vehicular Systems, Technologies and Applications;Jul 18, 2021 - Jul 22, 2021;Nice, France;Apr 19, 2021;19/04/2021;129;2021-04-19
100;1004;ICNP 2021;International Conference on Network Protocols;Nov 2, 2021 - Nov 5, 2021;Dallas, TX;May 24, 2021 (May 17, 2021);24/05/2021;130;2021-05-24
100;1004;SI: Advanced Technology for IE 2022;Special Issue: Secure and Advanced Technology for Intelligent Environments;Jan 1, 2021 - Jun 1, 2022;JAISE (IOS) journal;Sep 5, 2021;5/09/2021;131;2021-09-05
100;1004;NetIIoT 2021;State-of-Art of Network Architectures and Protocols for Industrial IoT;N/A;N/A;Sep 20, 2021;20/09/2021;132;2021-09-20
100;1004;ACM BSCI 2021;The 3rd ACM International Symposium on Blockchain and Secure Critical Infrastructure;Jun 7, 2021 - Jun 11, 2021;Hong Kong, China;Feb 15, 2021;15/02/2021;133;2021-02-15
100;1004;Blockchain Consensus 2021;Blockchain Consensus Protocols;N/A;N/A;Jan 31, 2021;31/01/2021;134;2021-01-31
100;1004;ICCIS--IEEE, Ei and Scopus 2021;IEEE--2021 5th International Conference on Communication and Information Systems (ICCIS 2020)--Ei Compendex, Scopus;Oct 15, 2021 - Oct 17, 2021;Chongqing, China;May 10, 2021;10/05/2021;135;2021-05-10
100;1004;SI: Energies - Climate Change 2021;Special Issue: Change But No Climate Change: Discourses and Approaches of Climate Change in the Energy Industry;N/A;N/A;Oct 15, 2021;15/10/2021;136;2021-10-15
