KSAT_ID;KSAT_Type;KSAT_Description
30077;Task;Develop secure code and error handling.
30078;Task;Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.
30079;Task;Develop specifications to ensure that risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level.
30080;Task;Develop test plans to address specifications and requirements.
30081;Task;Diagnose network connectivity problem.
30082;Task;Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition life cycle.
30083;Task;Draft statements of preliminary or residual security risks for system operation.
30084;Task;Employ secure configuration management processes.
30085;Task;Ensure all systems security operations and maintenance activities are properly documented and updated as necessary.
30086;Task;Ensure that the application of security patches for commercial products integrated into system design meet the timelines dictated by the management authority for the intended operational environment.
30087;Task;Ensure that chain of custody is followed for all digital media acquired in accordance with the Federal Rules of Evidence.
30088;Task;Ensure that cybersecurity-enabled products or other compensating security control technologies reduce identified risk to an acceptable level.
30089;Task;Ensure that security improvement actions are evaluated, validated, and implemented as required.
30090;Task;Ensure that acquired or developed system(s) and architecture(s) are consistent with organization's cybersecurity architecture guidelines.
30091;Task;Ensure that cybersecurity inspections, tests, and reviews are coordinated for the network environment.
30092;Task;Ensure that cybersecurity requirements are integrated into the continuity planning for that system and/or organization(s).
30093;Task;Ensure that protection and detection capabilities are acquired or developed using the IS security engineering approach and are consistent with organization-level cybersecurity architecture.
30094;Task;Establish and maintain communication channels with stakeholders.
30095;Task;Establish overall enterprise information security architecture (EISA) with the organization’s overall security strategy.
30096;Task;Establish relationships, if applicable, between the incident response team and other groups, both internal (e.g., legal department) and external (e.g., law enforcement agencies, vendors, public relations professionals).
30097;Task;Evaluate and approve development efforts to ensure that baseline security safeguards are appropriately installed.
30098;Task;Evaluate contracts to ensure compliance with funding, legal, and program requirements.
30099;Task;Evaluate cost/benefit, economic, and risk analysis in decision-making process.
30100;Task;Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration.
30101;Task;Evaluate the effectiveness and comprehensiveness of existing training programs.
30102;Task;Evaluate the effectiveness of laws, regulations, policies, standards, or procedures.
30103;Task;Examine recovered data for information of relevance to the issue at hand.
30104;Task;Fuse computer network attack analyses with criminal and counterintelligence investigations and operations.
30105;Task;Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements.
30106;Task;Identify alternative information security strategies to address organizational security objective.
30107;Task;Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable).
30108;Task;Identify and prioritize critical business functions in collaboration with organizational stakeholders.
30109;Task;Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.
30110;Task;Identify and/or determine whether a security incident is indicative of a violation of law that requires specific legal action.
30111;Task;Identify basic common coding flaws at a high level.
30112;Task;Identify data or intelligence of evidentiary value to support counterintelligence and criminal investigations.
30113;Task;Identify digital evidence for examination and analysis in such a way as to avoid unintentional alteration.
30114;Task;Identify elements of proof of the crime.
30115;Task;Identify information technology (IT) security program implications of new technologies or technology upgrades.
30116;Task;Identify organizational policy stakeholders.
30117;Task;Identify security implications and apply methodologies within centralized and decentralized environments across the enterprise’s computer systems in software development.
30118;Task;Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.
30119;Task;Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure that recommended products are in compliance with organization's evaluation and validation requirements.
30120;Task;Identify, collect, and seize documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents, investigations, and operations.
30121;Task;Implement new system design procedures, test procedures, and quality standards.
30122;Task;Implement security designs for new or existing system(s).
30123;Task;Implement specific cybersecurity countermeasures for systems and/or applications.
30124;Task;Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts).
30125;Task;Install and maintain network infrastructure device operating system software (e.g., IOS, firmware).
30126;Task;Install or replace network hubs, routers, and switches.
30127;Task;Integrate and align information security and/or cybersecurity policies to ensure that system analysis meets security requirements.
30128;Task;Integrate automated capabilities for updating or patching system software where practical and develop processes and procedures for manual updating and patching of system software based on current and projected patch timeline requirements for the operational environment of the system.
30129;Task;Integrate new systems into existing network architecture.
30130;Task;Interface with external organizations (e.g., public affairs, law enforcement, Command or Component Inspector General) to ensure appropriate and accurate dissemination of incident and other Computer Network Defense information.
30131;Task;Interpret and apply laws, regulations, policies, standards, or procedures to specific issues.
30132;Task;Interpret and/or approve security requirements relative to the capabilities of new information technologies.
30133;Task;Interpret patterns of noncompliance to determine their impact on levels of risk and/or overall effectiveness of the enterprise’s cybersecurity program.
30134;Task;Lead and align information technology (IT) security priorities with the security strategy.
30135;Task;Lead and oversee information security budget, staffing, and contracting.
30136;Task;Maintain baseline system security according to organizational policies.
30137;Task;Maintain database management systems software.
30138;Task;Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions.
30139;Task;Maintain directory replication services that enable information to replicate automatically from rear servers to forward units via optimized routing.
30140;Task;Maintain information exchanges through publish, subscribe, and alert functions that enable users to send and receive critical information as required.
30141;Task;Maintain information systems assurance and accreditation materials.
30142;Task;Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing.
30143;Task;Make recommendations based on test results.
30144;Task;Manage accounts, network rights, and access to systems and equipment.
30145;Task;Manage and approve Accreditation Packages (e.g., ISO/IEC 15026-2).
30146;Task;Manage the compilation, cataloging, caching, distribution, and retrieval of data.
30147;Task;Manage the monitoring of information security data sources to maintain organizational situational awareness.
30148;Task;Manage the publishing of Computer Network Defense guidance (e.g., TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency.
30149;Task;Manage threat or target analysis of cyber defense information and production of threat information within the enterprise.
30150;Task;Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements.
30151;Task;Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure that they provide the intended level of protection.
30152;Task;Monitor and maintain databases to ensure optimal performance.
30153;Task;Monitor network capacity and performance.
30154;Task;Monitor and report the usage of knowledge management assets and resources.
30155;Task;Document and escalate incidents (including event’s history, status, and potential impact for further action) that may cause ongoing and immediate impact to the environment.
30156;Task;Oversee and make recommendations regarding configuration management.
30157;Task;Oversee the information security training and awareness program.
30158;Task;Participate in an information security risk assessment during the Security Assessment and Authorization process.
30159;Task;Participate in the development or modification of the computer environment cybersecurity program plans and requirements.
30160;Task;Patch network vulnerabilities to ensure that information is safeguarded against outside parties.
30161;Task;Perform analysis of log files from a variety of sources (e.g., individual host logs, network traffic logs, firewall logs, and intrusion detection system [IDS] logs) to identify possible threats to network security.
30162;Task;Perform backup and recovery of databases to ensure data integrity.
30163;Task;Perform cyber defense incident triage, to include determining scope, urgency, and potential impact, identifying the specific vulnerability, and making recommendations that enable expeditious remediation.
30164;Task;Perform cyber defense trend analysis and reporting.
30165;Task;Perform dynamic analysis to boot an “image” of a drive (without necessarily having the original drive) to see the intrusion as the user may have seen it, in a native environment.
30166;Task;Perform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attack.
30167;Task;Perform file signature analysis.
30168;Task;Perform hash comparison against established database.
30169;Task;Perform cybersecurity testing of developed applications and/or systems.
30170;Task;Perform initial, forensically sound collection of images and inspect to discern possible mitigation/remediation on enterprise systems.
30171;Task;Perform integrated quality assurance testing for security functionality and resiliency attack.
30172;Task;Perform real-time forensic analysis (e.g., using Helix in conjunction with LiveView).
30173;Task;Perform timeline analysis.
30174;Task;Perform needs analysis to determine opportunities for new and improved business process solutions.
30175;Task;Perform real-time cyber defense incident handling (e.g., forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support deployable Incident Response Teams (IRTs).
30176;Task;Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.
30177;Task;Perform security reviews, identify gaps in security architecture, and develop a security risk management plan.
30178;Task;Perform security reviews and identify security gaps in security architecture resulting in recommendations for inclusion in the risk mitigation strategy.
30179;Task;Perform static media analysis.
30180;Task;Perform system administration on specialized cyber defense applications and systems (e.g., antivirus, audit and remediation) or Virtual Private Network (VPN) devices, to include installation, configuration, maintenance, backup, and restoration.
30181;Task;Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change.
30182;Task;Perform tier 1, 2, and 3 malware analysis.
30183;Task;Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks.
30184;Task;Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks.
30185;Task;Plan and manage the delivery of knowledge management projects.
30186;Task;Plan, execute, and verify data redundancy and system recovery procedures.
30187;Task;Plan and recommend modifications or adjustments based on exercise results or system environment.
30188;Task;Prepare audit reports that identify technical and procedural findings, and provide recommended remediation strategies/solutions.
30189;Task;Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.
30190;Task;Prepare digital media for imaging by ensuring data integrity (e.g., write blockers in accordance with standard operating procedures).
30191;Task;Prepare use cases to justify the need for specific information technology (IT) solutions.
30192;Task;Prepare, distribute, and maintain plans, instructions, guidance, and standard operating procedures concerning the security of network system(s) operations.
30193;Task;Process crime scenes.
30194;Task;Properly document all systems security implementation, operations, and maintenance activities and update as necessary.
30195;Task;Provide a managed flow of relevant information (via web-based portals or other means) based on mission requirements.
30196;Task;Provide advice on project costs, design concepts, or design changes.
30197;Task;Provide an accurate technical evaluation of the software application, system, or network, documenting the security posture, capabilities, and vulnerabilities against relevant cybersecurity compliances.
30198;Task;Provide daily summary reports of network events and activity relevant to cyber defense practices.
30199;Task;Provide enterprise cybersecurity and supply chain risk management guidance for development of the Continuity of Operations Plans.
30200;Task;Provide feedback on network requirements, including network architecture and infrastructure.
30201;Task;Provide guidelines for implementing developed systems to customers or installation teams.
30202;Task;Provide cybersecurity guidance to leadership.
30203;Task;Provide input on security requirements to be included in statements of work and other appropriate procurement documents.
30204;Task;Provide input to implementation plans and standard operating procedures.
30205;Task;Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials).
30206;Task;Provide leadership and direction to information technology (IT) personnel by ensuring that cybersecurity awareness, basics, literacy, and training are provided to operations personnel commensurate with their responsibilities.
30207;Task;Provide ongoing optimization and problem-solving support.
30208;Task;Provide recommendations for possible improvements and upgrades.
30209;Task;Provide recommendations on data structures and databases that ensure correct and quality production of reports/management information.
30210;Task;Provide recommendations on new database technologies and architectures.
30211;Task;Provide system-related input on cybersecurity requirements to be included in statements of work and other appropriate procurement documents.
30212;Task;Provide technical assistance on digital evidence matters to appropriate personnel.
30213;Task;Provide technical documents, incident reports, findings from computer examinations, summaries, and other situational awareness information to higher headquarters.
30214;Task;Receive and analyze network alerts from various sources within the enterprise and determine possible causes of such alerts.
30215;Task;Recognize a possible security violation and take appropriate action to report the incident, as required.
30216;Task;Recognize and accurately report forensic artifacts indicative of a particular operating system.
30217;Task;Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing.
30218;Task;Recommend new or revised security, resilience, and dependability measures based on the results of reviews.
30219;Task;Recommend resource allocations required to securely operate and maintain an organization’s cybersecurity requirements.
30220;Task;Resolve conflicts in laws, regulations, policies, standards, or procedures.
30221;Task;Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network.
30222;Task;Review existing and proposed policies with stakeholders.
30223;Task;Review or conduct audits of information technology (IT) programs and projects.
30224;Task;Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions).
30225;Task;Secure the electronic device or information source.
30226;Task;Serve on agency and interagency policy boards.
30227;Task;Recommend policy and coordinate review and approval.
30228;Task;Store, retrieve, and manipulate data for analysis of system capabilities and requirements.
30229;Task;Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.
30230;Task;Support the design and execution of exercise scenarios.
30231;Task;Provide support to security/certification test and evaluation activities.
30232;Task;Test and maintain network infrastructure including software and hardware devices.
30233;Task;Track and document cyber defense incidents from initial detection through final resolution.
30234;Task;Track audit findings and recommendations to ensure that appropriate mitigation actions are taken.
30235;Task;Translate functional requirements into technical solutions.
30236;Task;Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria.
30237;Task;Troubleshoot system hardware and software.
30238;Task;Extract data using data carving techniques (e.g., Forensic Tool Kit [FTK], Foremost).
30239;Task;Use federal and organization-specific published documents to manage operations of their computing environment system(s).
30240;Task;Capture and analyze network traffic associated with malicious activities using network monitoring tools.
30241;Task;Use specialized equipment and techniques to catalog, document, extract, collect, package, and preserve digital evidence.
30242;Task;Utilize models and simulations to analyze or predict system performance under different operating conditions.
30243;Task;Verify and update security documentation reflecting the application/system security design features.
30244;Task;Verify that application software/network/system security postures are implemented as stated, document deviations, and recommend required actions to correct those deviations.
30245;Task;Verify that the software application/network/system accreditation and assurance documentation is current.
30246;Task;Write and publish cyber defense techniques, guidance, and reports on incident findings to appropriate constituencies.
30247;Task;Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce.
30248;Task;Promote awareness of security issues among management and ensure sound security principles are reflected in the organization's vision and goals.
30249;Task;Research current technology to understand capabilities of required system or network.
30250;Task;Identify cyber capabilities strategies for custom hardware and software development based on mission requirements.
30251;Task;Develop security compliance processes and/or audits for external services (e.g., cloud service providers, data centers).
30252;Task;Conduct required reviews as appropriate within environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews).
30253;Task;Conduct cursory binary analysis.
30254;Task;Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies.
30255;Task;Participate in Risk Governance process to provide security risks, mitigations, and input on other technical risk.
30256;Task;Evaluate the effectiveness of procurement function in addressing information security requirements and supply chain risks through procurement activities and recommend improvements.
30257;Task;Determine scope, infrastructure, resources, and data sample size to ensure system requirements are adequately demonstrated.
30258;Task;Provide timely detection, identification, and alerting of possible attacks/intrusions, anomalous activities, and misuse activities and distinguish these incidents and events from benign activities.
30259;Task;Use cyber defense tools for continual monitoring and analysis of system activity to identify malicious activity.
30260;Task;Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information.
30261;Task;Assist in identifying, prioritizing, and coordinating the protection of critical cyber defense infrastructure and key resources.
30262;Task;Employ approved defense-in-depth principles and practices (e.g., defense-in-multiple places, layered defenses, security robustness).
30263;Task;Identify security requirements specific to an information technology (IT) system in all phases of the system life cycle.
30264;Task;Ensure that plans of actions and milestones or remediation plans are in place for vulnerabilities identified during risk assessments, audits, inspections, etc.
30265;Task;Assure successful implementation and functionality of security requirements and appropriate information technology (IT) policies and procedures that are consistent with the organization's mission and goals.
30266;Task;Perform penetration testing as required for new or updated applications.
30267;Task;Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements.
30268;Task;Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.
30269;Task;Design and develop key management functions (as related to cybersecurity).
30270;Task;Analyze user needs and requirements to plan and conduct system security development.
30271;Task;Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).
30272;Task;Ensure that security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.
30273;Task;Develop and document supply chain risks for critical system elements, as appropriate.
30274;Task;Create auditable evidence of security measures.
30275;Task;Support necessary compliance activities (e.g., ensure that system security configuration guidelines are followed, compliance monitoring occurs).
30276;Task;Participate in the acquisition process as necessary, following appropriate supply chain risk management practices.
30277;Task;Ensure that all acquisitions, procurements, and outsourcing efforts address information security requirements consistent with organization goals.
30278;Task;Collect intrusion artifacts (e.g., source code, malware, Trojans) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.
30279;Task;Serve as technical expert and liaison to law enforcement personnel and explain incident details as required.
30280;Task;Continuously validate the organization against policies/guidelines/procedures/regulations/laws to ensure compliance.
30281;Task;Forecast ongoing service demands and ensure that security assumptions are reviewed as necessary.
30282;Task;Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate.
30283;Task;Collaborate with stakeholders to identify and/or develop appropriate solutions technology.
30284;Task;Design and develop new tools/technologies as related to cybersecurity.
30285;Task;Perform virus scanning on digital media.
30286;Task;Perform file system forensic analysis.
30287;Task;"Perform static analysis to mount an ""image"" of a drive (without necessarily having the original drive)."
30288;Task;Perform static malware analysis.
30289;Task;Utilize deployable forensics toolkit to support operations as necessary.
30290;Task;Determine tactics, techniques, and procedures (TTPs) for intrusion sets.
30291;Task;Examine network topologies to understand data flows through the network.
30292;Task;Recommend computing environment vulnerability corrections.
30293;Task;Identify and analyze anomalies in network traffic using metadata.
30294;Task;Conduct research, analysis, and correlation across a wide variety of all source data sets (indications and warnings).
30295;Task;Validate intrusion detection system (IDS) alerts against network traffic using packet analysis tools.
30296;Task;Isolate and remove malware.
30297;Task;Identify applications and operating systems of a network device based on network traffic.
30298;Task;Reconstruct a malicious attack or activity based off network traffic.
30299;Task;Identify network mapping and operating system (OS) fingerprinting activities.
30300;Task;Develop and document User Experience (UX) requirements including information architecture and user interface requirements.
30301;Task;Develop and implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities.
30302;Task;Develop contract language to ensure supply chain, system, network, and operational security are met.
30303;Task;Identify and leverage the enterprise-wide version control system while designing and developing secure applications.
30304;Task;Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment.
30305;Task;Performs configuration management, problem management, capacity management, and financial management for databases and data management systems.
30306;Task;Supports incident management, service-level management, change management, release management, continuity management, and availability management for databases and data management systems.
30307;Task;Analyze candidate architectures, allocate security services, and select security mechanisms. 
30308;Task;Analyze incident data for emerging trends. 
30309;Task;Assess the effectiveness of security controls.
30310;Task;Assist in the construction of signatures which can be implemented on cyber defense network tools in response to new or observed threats within the network environment or enclave. 
30311;Task;Consult with customers about software system design and maintenance. 
30312;Task;Coordinate with intelligence analysts to correlate threat assessment data. 
30313;Task;Design and document quality standards. 
30314;Task;Develop a system security context, a preliminary system security Concept of Operations (CONOPS), and define baseline system security requirements in accordance with applicable cybersecurity requirements. 
30315;Task;Develop and deliver technical training to educate others or meet customer needs. 
30316;Task;Develop or assist in the development of computer based training modules or classes.
30317;Task;Develop or assist in the development of course assignments.
30318;Task;Develop or assist in the development of course evaluations.
30319;Task;Develop or assist in the development of grading and proficiency standards.
30320;Task;Assist in the development of individual/collective development, training, and/or remediation plans.
30321;Task;Develop or assist in the development of learning objectives and goals.
30322;Task;Develop or assist in the development of on-the-job training materials or programs.
30323;Task;Develop or assist in the development of written tests for measuring and assessing learner proficiency.
30324;Task;Direct software programming and development of documentation.
30325;Task;Document a system's purpose and preliminary system security concept of operations.
30326;Task;Employ configuration management processes. 
30327;Task;Evaluate network infrastructure vulnerabilities to enhance capabilities being developed.
30328;Task;Evaluate security architectures and designs to determine the adequacy of security design and architecture proposed or provided in response to requirements contained in acquisition documents. 
30329;Task;Follow software and systems engineering life cycle standards and processes.
30330;Task;Maintain assured message delivery systems. 
30331;Task;Maintain incident tracking and solution database. 
30332;Task;Notify designated managers, cyber incident responders, and cybersecurity service provider team members of suspected cyber incidents and articulate the event's history, status, and potential impact for further action in accordance with the organization's cyber incident response plan.
30333;Task;Perform cyber defense trend analysis and reporting.
30334;Task;Ensure that all systems components can be integrated and aligned (e.g., procedures, databases, policies, software, and hardware). 
30335;Task;Build, install, configure, and test dedicated cyber defense hardware. 
30336;Task;WITHDRAWN: Integrated with T0228
30337;Task;Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel.
30338;Task;Write detailed functional specifications that document the architecture development process. 
30339;Task;Lead efforts to promote the organization's use of knowledge management and information sharing.
30340;Task;Act as a primary stakeholder in the underlying information technology (IT) operational processes and functions that support the service, provide direction and monitor all significant activities so the service is delivered successfully.
30341;Task;Advocate for adequate funding for cyber training resources, to include both internal and industry-provided courses, instructors, and related materials.
30342;Task;Analyze data sources to provide actionable recommendations.
30343;Task;Analyze the crisis to ensure public, personal, and resource protection.
30344;Task;Assess all the configuration management (change configuration/release management) processes. 
30345;Task;Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.
30346;Task;Assess the behavior of the individual victim, witness, or suspect as it relates to the investigation.
30347;Task;Assess the validity of source data and subsequent findings.
30348;Task;Assist in assessing the impact of implementing and sustaining a dedicated cyber defense infrastructure.
30349;Task;Collect metrics and trending data.
30350;Task;Conduct a market analysis to identify, assess, and recommend commercial, Government off-the-shelf, and open source products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements.
30351;Task;Conduct hypothesis testing using statistical processes.
30352;Task;Conduct learning needs assessments and identify requirements.
30353;Task;Confer with systems analysts, engineers, programmers, and others to design application.
30354;Task;Coordinate and manage the overall service provided to a customer end-to-end.
30355;Task;Coordinate with internal and external subject matter experts to ensure existing qualification standards reflect organizational functional requirements and meet industry standards.
30356;Task;Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets.
30357;Task;Create interactive learning exercises to create an effective learning environment.
30358;Task;Design and develop system administration and management functionality for privileged access users.
30359;Task;Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies.
